Nombre;Fecha;Area;Precio
Denim Red American Blend;20091003;Peninsula e Illes Balears;2.6
Elixir Red;20091003;Peninsula e Illes Balears;2.6
Elixyr Blue;20091003;Peninsula e Illes Balears;2.7
Elixyr Red 100’S;20091003;Peninsula e Illes Balears;2.7
Elixyr Red XXXL;20091003;Peninsula e Illes Balears;2.7
Garett Blue;20091003;Peninsula e Illes Balears;4.0
Garett Silver;20091003;Peninsula e Illes Balears;3.0
Natur Slim Blue;20091003;Peninsula e Illes Balears;3.0
Natur Slim Red;20091003;Peninsula e Illes Balears;2.8
Winston Redvolution;20091003;Peninsula e Illes Balears;2.8
Chonero (25);20091003;Ceuta y Melilla;1.2
Galápagos (Torpedo) (25);20091003;Ceuta y Melilla;1.3
Idellas (25);20091003;Ceuta y Melilla;0.95
Lonsdale(25);20091003;Ceuta y Melilla;2.3
Monarcas (25);20091003;Ceuta y Melilla;1.2
Toro (25);20091003;Ceuta y Melilla;2.1
Benavides:;20091003;Ceuta y Melilla;1.0
Cetro (25);20091003;Ceuta y Melilla;2.8
Espléndidos (25);20091003;Ceuta y Melilla;1.15
Homenaje (25);20091003;Ceuta y Melilla;2.2
Lonsdales (3);20091003;Ceuta y Melilla;2.0
N.º 4 (25);20091003;Ceuta y Melilla;2.0
N.º 4 (5);20091003;Ceuta y Melilla;3.0
Robusto (5);20091003;Ceuta y Melilla;4.5
Camacho:;20091003;Ceuta y Melilla;3.5
Corojo Figurado Cello (25);20091003;Ceuta y Melilla;2.9
Corojo Monarca Cello (25);20091003;Ceuta y Melilla;3.7
Corojo Petit Cello (25);20091003;Ceuta y Melilla;0.52
Corojo Toro Cello (25);20091003;Ceuta y Melilla;14.5
Cohiba:;20091003;Ceuta y Melilla;1.3
Mini Edición Especial (50);20091003;Ceuta y Melilla;1.65
Davidoff:;20091003;Ceuta y Melilla;1.2
Toro Especial Edición Limitada 2009 (10);20091003;Ceuta y Melilla;1.4
Don José:;20091003;Ceuta y Melilla;1.65
Corona Mazo (10);20091003;Ceuta y Melilla;0.3
Don Sixto:;20091003;Ceuta y Melilla;0.45
Churchill (3 x 10);20091003;Ceuta y Melilla;5.2
Corona (3 x 10);20091003;Ceuta y Melilla;3.4
Robusto (3 x 10);20091003;Ceuta y Melilla;2.8
Torpedo (3 x 10);20091003;Ceuta y Melilla;2.9
El Copey:;20091003;Ceuta y Melilla;2.1
Mini (10);20091003;Ceuta y Melilla;2.3
Guantanamera:;20091003;Ceuta y Melilla;1.4
Puritos (10);20091003;Ceuta y Melilla;1.15
La Aurora:;20091003;Ceuta y Melilla;2.15
1495 Series Connoisseur Selection Petaca (5);20091003;Ceuta y Melilla;20.5
Leon Jimenes:;20091003;Ceuta y Melilla;20.5
C) Cigarros y cigarritos;20091003;Ceuta y Melilla;6.0
Amigos:;20091003;Ceuta y Melilla;2.4
Amigos (el envase de 50);20091003;Ceuta y Melilla;1.9
Filter (el envase de 20);20091003;Ceuta y Melilla;1.9
Gold:;20091003;Ceuta y Melilla;2.7
Fine (el envase de 10);20091003;Ceuta y Melilla;1.25
Vanilla (el envase de 10);20091003;Ceuta y Melilla;9.6
Havera:;20091003;Ceuta y Melilla;1.0
Havera (el envase de 20);20091003;Ceuta y Melilla;1.0
E) Picaduras de pipa;20091003;Ceuta y Melilla;6.5
Ashford Red (150 g);20091003;Ceuta y Melilla;1.95
A) Cigarrillos;20091003;Ceuta y Melilla;1.6
Bravo Clásico;20091003;Ceuta y Melilla;1.6
Elixir Red;20091003;Ceuta y Melilla;1.6
Elixyr Blue;20091003;Ceuta y Melilla;1.6
Elixyr Red 100’S;20091003;Ceuta y Melilla;1.6
First Luxury Virginia;20091003;Ceuta y Melilla;2.15
B) Cigarros y cigarritos;20091003;Ceuta y Melilla;0.47
Cohiba:;20091003;Ceuta y Melilla;0.4
C) Cigarros y cigarritos;20091003;Ceuta y Melilla;1.0
Silverado:;20091003;Ceuta y Melilla;1.0
Cigarritos (El envase de 20);20091003;Ceuta y Melilla;1.0
Emerald Classic Blue;20091031;Peninsula e Illes Balears;3.0
Emerald Classic Green;20091031;Peninsula e Illes Balears;3.0
Emerald Classic Red;20091031;Peninsula e Illes Balears;3.0
Emerald Classic White;20091031;Peninsula e Illes Balears;3.0
For U! by Fortuna;20091031;Peninsula e Illes Balears;3.0
Mohawk Blue;20091031;Peninsula e Illes Balears;2.85
Mohawk Red;20091031;Peninsula e Illes Balears;2.65
Philip Morris Blues;20091031;Peninsula e Illes Balears;2.65
Philip Morris Green;20091031;Peninsula e Illes Balears;2.7
Joya de Nicaragua:;20091031;Ceuta y Melilla;42.0
Vegafina:;20091031;Ceuta y Melilla;30.0
Ducados Rolling (30 g);20091031;Ceuta y Melilla;2.6
For U! by Fortuna (20 g);20091031;Ceuta y Melilla;2.5
Mohawk American Blend Red (40 g);20091031;Ceuta y Melilla;1.7
Mohawk Halfzware Blue (40 g);20091031;Ceuta y Melilla;3.1
Mohawk Virginia Green (40 g);20091031;Ceuta y Melilla;3.1
Ziggy Azul (36 g);20091031;Ceuta y Melilla;2.0
Ziggy Natural (36 g);20091031;Ceuta y Melilla;2.0
Ziggy Rojo (36 g);20091031;Ceuta y Melilla;2.0
