Comunidad;Año;Labor;Totales;Unidades
Andalucía;2019;CIGARRILLOS;1111493826;euros
Andalucía;2019;CIGARROS;40894214;euros
Andalucía;2019;P. LIAR;106317108;euros
Andalucía;2019;P. PIPA;23425690;euros
Aragón;2019;CIGARRILLOS;215391716;euros
Aragón;2019;CIGARROS;11525573;euros
Aragón;2019;P. LIAR;18348184;euros
Aragón;2019;P. PIPA;1782041;euros
Asturias (Principado de);2019;CIGARRILLOS;159649780;euros
Asturias (Principado de);2019;CIGARROS;10110856;euros
Asturias (Principado de);2019;P. LIAR;12142494;euros
Asturias (Principado de);2019;P. PIPA;1270181;euros
Balears (Illes);2019;CIGARRILLOS;279207159;euros
Balears (Illes);2019;CIGARROS;9807142;euros
Balears (Illes);2019;P. LIAR;37317853;euros
Balears (Illes);2019;P. PIPA;4295754;euros
Cantabria;2019;CIGARRILLOS;94568373;euros
Cantabria;2019;CIGARROS;6242967;euros
Cantabria;2019;P. LIAR;7429107;euros
Cantabria;2019;P. PIPA;675471;euros
Castilla y León;2019;CIGARRILLOS;361223576;euros
Castilla y León;2019;CIGARROS;24683518;euros
Castilla y León;2019;P. LIAR;27936677;euros
Castilla y León;2019;P. PIPA;3158366;euros
Castilla-La Mancha;2019;CIGARRILLOS;312713802;euros
Castilla-La Mancha;2019;CIGARROS;12358221;euros
Castilla-La Mancha;2019;P. LIAR;25140601;euros
Castilla-La Mancha;2019;P. PIPA;3083725;euros
Cataluña;2019;CIGARRILLOS;1329083437;euros
Cataluña;2019;CIGARROS;60413903;euros
Cataluña;2019;P. LIAR;163541412;euros
Cataluña;2019;P. PIPA;20432291;euros
Comunidad Valenciana;2019;CIGARRILLOS;843291981;euros
Comunidad Valenciana;2019;CIGARROS;32034931;euros
Comunidad Valenciana;2019;P. LIAR;105084352;euros
Comunidad Valenciana;2019;P. PIPA;13458905;euros
Extremadura;2019;CIGARRILLOS;162943283;euros
Extremadura;2019;CIGARROS;7344837;euros
Extremadura;2019;P. LIAR;13208586;euros
Extremadura;2019;P. PIPA;1895649;euros
Galicia;2019;CIGARRILLOS;382486175;euros
Galicia;2019;CIGARROS;18805882;euros
Galicia;2019;P. LIAR;31291742;euros
Galicia;2019;P. PIPA;2645714;euros
Madrid (Comunidad de);2019;CIGARRILLOS;855345109;euros
Madrid (Comunidad de);2019;CIGARROS;31751242;euros
Madrid (Comunidad de);2019;P. LIAR;72419561;euros
Madrid (Comunidad de);2019;P. PIPA;17249147;euros
Murcia (Región de);2019;CIGARRILLOS;234881782;euros
Murcia (Región de);2019;CIGARROS;7520343;euros
Murcia (Región de);2019;P. LIAR;19016039;euros
Murcia (Región de);2019;P. PIPA;3434030;euros
Navarra (Comunidad Foral de);2019;CIGARRILLOS;149253430;euros
Navarra (Comunidad Foral de);2019;CIGARROS;8406101;euros
Navarra (Comunidad Foral de);2019;P. LIAR;16343491;euros
Navarra (Comunidad Foral de);2019;P. PIPA;827170;euros
País Vasco;2019;CIGARRILLOS;364898308;euros
País Vasco;2019;CIGARROS;27958834;euros
País Vasco;2019;P. LIAR;31079469;euros
País Vasco;2019;P. PIPA;2991301;euros
Rioja (La);2019;CIGARRILLOS;48322521;euros
Rioja (La);2019;CIGARROS;4276874;euros
Rioja (La);2019;P. LIAR;3094387;euros
Rioja (La);2019;P. PIPA;283348;euros
Andalucía;2019;CIGARRILLOS;244009166;unidades
Andalucía;2019;CIGARROS;198037122;unidades
Andalucía;2019;P. LIAR;616058;unidades
Andalucía;2019;P. PIPA;250976;unidades
Aragón;2019;CIGARRILLOS;47527766;unidades
Aragón;2019;CIGARROS;55522908;unidades
Aragón;2019;P. LIAR;106171;unidades
Aragón;2019;P. PIPA;13578;unidades
Asturias (Principado de);2019;CIGARRILLOS;35079769;unidades
Asturias (Principado de);2019;CIGARROS;49784608;unidades
Asturias (Principado de);2019;P. LIAR;70615;unidades
Asturias (Principado de);2019;P. PIPA;7901;unidades
Balears (Illes);2019;CIGARRILLOS;60664021;unidades
Balears (Illes);2019;CIGARROS;32542529;unidades
Balears (Illes);2019;P. LIAR;214878;unidades
Balears (Illes);2019;P. PIPA;23014;unidades
Cantabria;2019;CIGARRILLOS;20669680;unidades
Cantabria;2019;CIGARROS;28984892;unidades
Cantabria;2019;P. LIAR;43114;unidades
Cantabria;2019;P. PIPA;3725;unidades
Castilla y León;2019;CIGARRILLOS;79129249;unidades
Castilla y León;2019;CIGARROS;102221041;unidades
Castilla y León;2019;P. LIAR;162150;unidades
Castilla y León;2019;P. PIPA;23764;unidades
Castilla-La Mancha;2019;CIGARRILLOS;69154934;unidades
Castilla-La Mancha;2019;CIGARROS;62461931;unidades
Castilla-La Mancha;2019;P. LIAR;145896;unidades
Castilla-La Mancha;2019;P. PIPA;28742;unidades
Cataluña;2019;CIGARRILLOS;290786672;unidades
Cataluña;2019;CIGARROS;230497603;unidades
Cataluña;2019;P. LIAR;945035;unidades
Cataluña;2019;P. PIPA;201132;unidades
Comunidad Valenciana;2019;CIGARRILLOS;187617951;unidades
Comunidad Valenciana;2019;CIGARROS;160016755;unidades
Comunidad Valenciana;2019;P. LIAR;607330;unidades
Comunidad Valenciana;2019;P. PIPA;104319;unidades
Extremadura;2019;CIGARRILLOS;36095604;unidades
Extremadura;2019;CIGARROS;39363832;unidades
Extremadura;2019;P. LIAR;76778;unidades
Extremadura;2019;P. PIPA;20468;unidades
Galicia;2019;CIGARRILLOS;84087684;unidades
Galicia;2019;CIGARROS;93555204;unidades
Galicia;2019;P. LIAR;182190;unidades
Galicia;2019;P. PIPA;18022;unidades
Madrid (Comunidad de);2019;CIGARRILLOS;188226490;unidades
Madrid (Comunidad de);2019;CIGARROS;113210675;unidades
Madrid (Comunidad de);2019;P. LIAR;420809;unidades
Madrid (Comunidad de);2019;P. PIPA;92181;unidades
Murcia (Región de);2019;CIGARRILLOS;51445851;unidades
Murcia (Región de);2019;CIGARROS;35341552;unidades
Murcia (Región de);2019;P. LIAR;110139;unidades
Murcia (Región de);2019;P. PIPA;25090;unidades
Navarra (Comunidad Foral de);2019;CIGARRILLOS;32819949;unidades
Navarra (Comunidad Foral de);2019;CIGARROS;31981178;unidades
Navarra (Comunidad Foral de);2019;P. LIAR;93969;unidades
Navarra (Comunidad Foral de);2019;P. PIPA;7488;unidades
País Vasco;2019;CIGARRILLOS;79479911;unidades
País Vasco;2019;CIGARROS;98702305;unidades
País Vasco;2019;P. LIAR;179422;unidades
País Vasco;2019;P. PIPA;25751;unidades
Rioja (La);2019;CIGARRILLOS;10604587;unidades
Rioja (La);2019;CIGARROS;16369869;unidades
Rioja (La);2019;P. LIAR;17966;unidades
Rioja (La);2019;P. PIPA;2270;unidades
Andalucía;2018;CIGARRILLOS;1599326881;euros
Andalucía;2018;CIGARROS;61471264;euros
Andalucía;2018;P. LIAR;152828472;euros
Andalucía;2018;P. PIPA;26031250;euros
Aragón;2018;CIGARRILLOS;321626564;euros
Aragón;2018;CIGARROS;17785814;euros
Aragón;2018;P. LIAR;26731782;euros
Aragón;2018;P. PIPA;1975295;euros
Asturias (Principado de);2018;CIGARRILLOS;242619326;euros
Asturias (Principado de);2018;CIGARROS;15724751;euros
Asturias (Principado de);2018;P. LIAR;18419633;euros
Asturias (Principado de);2018;P. PIPA;1423138;euros
Balears (Illes);2018;CIGARRILLOS;406311721;euros
Balears (Illes);2018;CIGARROS;14849931;euros
Balears (Illes);2018;P. LIAR;53654470;euros
Balears (Illes);2018;P. PIPA;3759448;euros
Cantabria;2018;CIGARRILLOS;140411619;euros
Cantabria;2018;CIGARROS;9549742;euros
Cantabria;2018;P. LIAR;11003391;euros
Cantabria;2018;P. PIPA;700446;euros
Castilla y León;2018;CIGARRILLOS;539361109;euros
Castilla y León;2018;CIGARROS;37670925;euros
Castilla y León;2018;P. LIAR;41731470;euros
Castilla y León;2018;P. PIPA;3808766;euros
Castilla-La Mancha;2018;CIGARRILLOS;461343706;euros
Castilla-La Mancha;2018;CIGARROS;18813918;euros
