Marca;Fecha;Precio
JPS Black;20050101;1.7
Popular RS;20050101;1.3
Basic Duro;20050130;2.1
Dorchester Superkings;20050130;1.7
Embassy N.º 1;20050130;3.0
Excite Red Blando;20050130;1.3
Gold Leaf KS;20050130;2.4
JPS American Blend (Red);20050130;1.5
JPS American Blend (Silver);20050130;1.5
JPS American Blend (White);20050130;1.5
JPS Black;20050130;1.5
John Player (Blue);20050130;2.95
Lambert & Butler Gold;20050130;2.8
Lambert & Butler KS;20050130;2.8
Lambert & Butler Menthol;20050130;2.8
Mecánicos Negro;20050130;1.2
R1 Slim Line;20050130;2.65
Regal KS;20050130;3.0
Superkings;20050130;2.9
Superkings Blue;20050130;2.9
Superkings Menthol;20050130;2.9
Superkings White;20050130;2.9
Austin Gold;20050227;1.4
Austin Red;20050227;1.4
British Heritage;20050227;1.45
Dorchester Superkings;20050227;1.5
Pepe;20050227;1.2
Wings Blue;20050227;2.1
Wings Red;20050227;2.1
American House Gold;20050403;1.25
American House Original;20050403;1.25
Benson & Hedges Gold;20050403;2.8
Benson & Hedges Silver;20050403;2.8
Lark;20050403;2.6
Philip Morris Filter Kings;20050403;2.4
Philip Morris Supreme;20050403;2.4
Popular;20050403;1.4
Popular RS;20050403;1.4
Prince Golden Taste;20050403;2.65
Prince Rich 100SC;20050403;2.65
Prince Rich Taste;20050403;2.65
Prince Rounded;20050403;2.65
Prince Rounded 100SC;20050403;2.65
Red Eagle Full Flavour;20050403;1.35
Red Eagle Gold;20050403;1.35
Richmond King Size;20050403;2.45
Silk Cut Blue;20050403;2.8
Silk Cut Purple;20050403;2.8
Silk Cut Purple 100'S;20050403;2.8
Silk Cut Silver;20050403;2.8
Silk Cut White;20050403;2.8
Sovereing Black;20050403;1.5
Fortuna Rojo Blando;20050406;2.2
Fortuna 19 Rojo Duro;20050406;2.1
Fortuna 19 Azul Duro;20050406;2.1
Fortuna Naranja Duro;20050406;2.2
Fortuna Plata Duro;20050406;2.2
Fortuna Menthol Duro;20050406;2.2
Fortuna 25 Rojo Duro;20050406;2.6
Fortuna 25 Azul Duro;20050406;2.6
Fortuna 10 Rojo Duro;20050406;1.1
Fortuna 10 Azul Duro;20050406;1.1
Nobel Duro;20050406;2.2
Nobel Blando;20050406;2.2
Nobel Plata Duro;20050406;2.25
Diana Duro;20050406;2.1
Gauloises Rubio Azul FF;20050406;2.4
Gauloises Rubio Rojo;20050406;2.4
Gauloises Rubio Amarillo;20050406;2.4
Fine 120 Rojo Duro;20050406;3.0
Fine 120 Azul Duro;20050406;3.0
Fine 120 Menthol Duro;20050406;3.0
Gitanes Cortos con Filtro;20050406;2.75
Gitanes Cortos sin Filtro;20050406;2.75
B.N. Clásico Duro;20050406;2.15
B.N. Clásico Blando;20050406;2.15
B.N. Beige Duro;20050406;2.15
Boncalo Duro;20050406;2.1
Ducados Azul Duro;20050406;2.1
Ducados Azul Blando;20050406;2.1
Ducados Azul y Blanco Blando;20050406;2.1
Ducados Azul y Blanco Duro;20050406;2.1
Ducados Blanco Duro;20050406;2.1
Ducados 25 Azul Duro;20050406;2.6
Ducados Internacional Duro;20050406;2.6
Ducados Lujo Duro;20050406;2.4
Habanos Duro;20050406;2.4
Habanos Blando;20050406;2.4
Partagás Duro;20050406;2.4
Partagás B.N.A.;20050406;2.4
Sombra Blando;20050406;2.1
Chesterfield Classic Blue 10's;20050408;1.2
Chesterfield Classic Blue Duro;20050408;2.4
Chesterfield Classic Red 10's;20050408;1.2
Chesterfield Classic Red Blando;20050408;2.4
Chesterfield Classic Red Duro;20050408;2.4
Chesterfield Corto S/F Duro;20050408;2.35
Fortuna Oriental Origin;20050408;2.2
Fortuna Savannah Origin;20050408;2.2
Fortuna Tropical Origin;20050408;2.2
L&M Blue Label 10's;20050408;1.1
L&M Blue Label 100'S;20050408;2.2
L&M Blue Label Duro;20050408;2.2
L&M Red Label 10's;20050408;1.1
L&M Red Label 100'S;20050408;2.2
L&M Red Label Blando;20050408;2.2
L&M Red Label Duro;20050408;2.2
Marlboro Gold 10's;20050408;1.35
Marlboro Gold 100's;20050408;2.75
Marlboro Gold Duro;20050408;2.75
Marlboro Med Duro;20050408;2.75
Marlboro Red 10's;20050408;1.35
Marlboro Red 100's;20050408;2.75
Marlboro Red Blando;20050408;2.75
Marlboro Red Duro;20050408;2.75
Merit;20050408;2.5
Next 19'S;20050408;2.1
Camel Filter Box 10;20050409;1.2
Camel Filter Box 20;20050409;2.4
Camel Filter Soft;20050409;2.4
Camel Non Filter Soft;20050409;2.3
Camel Subtle Flavour Blue 10;20050409;1.2
Camel Subtle Flavour Blue 20;20050409;2.4
More Filters Box;20050409;2.9
More Menthol Box;20050409;2.9
Salem Menthol;20050409;2.75
Winston Balanced Blue;20050409;2.75
Winston Classic Red 100;20050409;2.75
Winston Classic Red KS Box;20050409;2.75
Winston Classic Red KS Soft;20050409;2.75
Winston Subtle Silver;20050409;2.75
Bastos Filter Blando;20050422;2.8
Caballero Filter Box 30;20050422;2.35
Cartier Vendôme Red;20050422;3.3
Cecil Blended;20050422;2.75
Craven A Red;20050422;2.75
Davidoff Classic;20050422;2.75
Davidoff Gold;20050422;2.75
Dunhill International;20050422;3.1
Dunhill International Blue;20050422;3.1
Dunhill International Menthol;20050422;3.1
Ernte 23;20050422;2.75
Kane Nyc Blue;20050422;2.4
Kane Nyc Silver;20050422;2.4
Kent Blue;20050422;2.75
Kim Blue;20050422;2.75
Kim Red;20050422;2.75
Kool Filter Kings;20050422;2.75
Look Menthol 100's;20050422;2.75
Lord Extra;20050422;2.75
Lucky Strike Corto sin Filtro;20050422;2.3
Lucky Strike Red;20050422;2.4
Lucky Strike Red 10's;20050422;1.2
Lucky Strike Red 19'S;20050422;2.25
Lucky Strike Red Blando;20050422;2.4
Lucky Strike Silver;20050422;2.4
Lucky Strike Silver 10's;20050422;1.2
Lucky Strike Silver 19'S;20050422;2.25
MS Club Slim;20050422;2.3
MS F;20050422;2.2
MS L;20050422;2.2
Pall Mall Blue;20050422;2.2
Pall Mall Filter Red;20050422;2.2
Pall Mall Menthol;20050422;2.2
Pall Mall Sin Filtro;20050422;2.2
Peter Stuyvesant Azul;20050422;2.05
Peter Stuyvesant Blue;20050422;2.05
Peter Stuyvesant Red;20050422;2.05
Peter Stuyvesant Silver;20050422;2.05
Prince Golden Taste;20050422;2.75
Prince Rich Taste;20050422;2.75
Prince Rich 100's;20050422;2.75
Prince Rounded;20050422;2.75
Prince Rounded 100's;20050422;2.75
R1 Azul;20050422;2.75
R1 Rojo;20050422;2.75
R1 Slim Line;20050422;2.75
Rothmans Blue;20050422;2.75
Rothmans Red;20050422;2.75
Viceroy Blue;20050422;2.2
Viceroy Red;20050422;2.2
Vogue Super Slims Blue;20050422;2.75
Belga Red;20050501;2.8
Brookfield;20050501;1.45
Bull Brand;20050501;1.2
HB Blue;20050501;2.1
HB Red;20050501;2.1
Peter Stuyvesant Red Blando;20050501;1.95
Pool Gold;20050501;1.3
Royal Crown Blue;20050501;2.3
Royal Crown Filter;20050501;2.3
Royal Crown White;20050501;2.3
The Limited Gold;20050501;1.35
The Limited Red;20050501;1.35
