Comunidad;Anyo;Labor;Unidad;Total
Andalucía;2018;CIGARRILLOS;euros;1599326881
Andalucía;2018;CIGARROS;euros;61471264
Andalucía;2018;P. LIAR;euros;152828472
Andalucía;2018;P. PIPA;euros;26031250
Aragón;2018;CIGARRILLOS;euros;321626564
Aragón;2018;CIGARROS;euros;17785814
Aragón;2018;P. LIAR;euros;26731782
Aragón;2018;P. PIPA;euros;1975295
Asturias (Principado de);2018;CIGARRILLOS;euros;242619326
Asturias (Principado de);2018;CIGARROS;euros;15724751
Asturias (Principado de);2018;P. LIAR;euros;18419633
Asturias (Principado de);2018;P. PIPA;euros;1423138
Balears (Illes);2018;CIGARRILLOS;euros;406311721
Balears (Illes);2018;CIGARROS;euros;14849931
Balears (Illes);2018;P. LIAR;euros;53654470
Balears (Illes);2018;P. PIPA;euros;3759448
Cantabria;2018;CIGARRILLOS;euros;140411619
Cantabria;2018;CIGARROS;euros;9549742
Cantabria;2018;P. LIAR;euros;11003391
Cantabria;2018;P. PIPA;euros;700446
Castilla y León;2018;CIGARRILLOS;euros;539361109
Castilla y León;2018;CIGARROS;euros;37670925
Castilla y León;2018;P. LIAR;euros;41731470
Castilla y León;2018;P. PIPA;euros;3808766
Castilla-La Mancha;2018;CIGARRILLOS;euros;461343706
Castilla-La Mancha;2018;CIGARROS;euros;18813918
Castilla-La Mancha;2018;P. LIAR;euros;37823211
Castilla-La Mancha;2018;P. PIPA;euros;3715020
Cataluña;2018;CIGARRILLOS;euros;1921356168
Cataluña;2018;CIGARROS;euros;92101863
Cataluña;2018;P. LIAR;euros;232671731
Cataluña;2018;P. PIPA;euros;18144873
Comunidad Valenciana;2018;CIGARRILLOS;euros;1246499142
Comunidad Valenciana;2018;CIGARROS;euros;48388617
Comunidad Valenciana;2018;P. LIAR;euros;155406472
Comunidad Valenciana;2018;P. PIPA;euros;14925270
Extremadura;2018;CIGARRILLOS;euros;241091160
Extremadura;2018;CIGARROS;euros;11336654
Extremadura;2018;P. LIAR;euros;19551795
Extremadura;2018;P. PIPA;euros;2238164
Galicia;2018;CIGARRILLOS;euros;571963422
Galicia;2018;CIGARROS;euros;28531697
Galicia;2018;P. LIAR;euros;46837146
Galicia;2018;P. PIPA;euros;2902805
Madrid (Comunidad de);2018;CIGARRILLOS;euros;1298927749
Madrid (Comunidad de);2018;CIGARROS;euros;48755958
Madrid (Comunidad de);2018;P. LIAR;euros;108430057
Madrid (Comunidad de);2018;P. PIPA;euros;18030201
Murcia (Región de);2018;CIGARRILLOS;euros;353060790
Murcia (Región de);2018;CIGARROS;euros;11470998
Murcia (Región de);2018;P. LIAR;euros;28239773
Murcia (Región de);2018;P. PIPA;euros;3527217
Navarra (Comunidad Foral de);2018;CIGARRILLOS;euros;211383270
Navarra (Comunidad Foral de);2018;CIGARROS;euros;12425678
Navarra (Comunidad Foral de);2018;P. LIAR;euros;21969699
Navarra (Comunidad Foral de);2018;P. PIPA;euros;919676
País Vasco;2018;CIGARRILLOS;euros;538940665
País Vasco;2018;CIGARROS;euros;42815739
País Vasco;2018;P. LIAR;euros;42609382
País Vasco;2018;P. PIPA;euros;2658304
Rioja (La);2018;CIGARRILLOS;euros;72773625
Rioja (La);2018;CIGARROS;euros;6549154
Rioja (La);2018;P. LIAR;euros;4671758
Rioja (La);2018;P. PIPA;euros;377817
Andalucía;2018;CIGARRILLOS;cantidad;350331256
Andalucía;2018;CIGARROS;cantidad;304025949
Andalucía;2018;P. LIAR;cantidad;886685
Andalucía;2018;P. PIPA;cantidad;281044
Aragón;2018;CIGARRILLOS;cantidad;70898916
