country;iso;capital;population
Azerbaijan;AZ;Baku;8303512
Belize;BZ;Belmopan;314522
Bosnia and Herzegovina;BA;Sarajevo;4590000
Brazil;BR;Brasilia;201103330
Czech Republic;CZ;Prague;10476000
Kazakhstan;KZ;Astana;15340000
Kyrgyzstan;KG;Bishkek;5508626
Mozambique;MZ;Maputo;22061451
New Zealand;NZ;Wellington;4252277
Swaziland;SZ;Mbabane;1354051
Switzerland;CH;Berne;7581000
Tanzania;TZ;Dodoma;41892895
Uzbekistan;UZ;Tashkent;27865738
Venezuela;VE;Caracas;27223228
Zambia;ZM;Lusaka;13460305
Zimbabwe;ZW;Harare;11651858
